,2 clusters,3 clusters,4 clusters,5 clusters,6 clusters,7 clusters,8 clusters,9 clusters,10 clusters,11 clusters,12 clusters,13 clusters,14 clusters,15 clusters,16 clusters,17 clusters,18 clusters,19 clusters,20 clusters,21 clusters,22 clusters,23 clusters,24 clusters,25 clusters,26 clusters,27 clusters,28 clusters,29 clusters,30 clusters
0,27503,26996,26464,25012,24998,25098,23477,23477,23773,23227,22895,22890,22869,22860,22862,22823,22321,21807,22072,22072,21580,17182,21438,21277,17218,17226,21155,21138,20178
1,522,522,687,1983,1365,1357,1928,1928,1587,1847,1755,1758,1761,1746,1747,1747,1737,1726,1686,1686,1364,5314,1342,1189,4528,4570,1193,1366,1616
2,0,507,507,499,699,650,1325,1323,1159,1155,1230,1230,1230,1234,1235,1234,1043,1035,1032,1032,1032,1637,1032,1025,1385,1557,1028,1020,1002
3,0,0,367,419,499,497,497,478,479,484,478,479,479,476,477,477,756,755,625,625,876,797,874,1025,1029,1029,703,872,873
4,0,0,0,112,352,274,377,377,364,478,477,476,477,367,367,367,477,569,477,477,625,732,625,625,625,624,637,615,766
5,0,0,0,0,112,98,272,272,271,269,367,367,367,356,350,353,358,477,358,358,477,474,475,564,585,586,593,603,617
6,0,0,0,0,0,51,98,98,251,260,269,255,255,255,255,249,355,358,346,344,358,358,400,475,474,475,473,474,589
7,0,0,0,0,0,0,51,51,98,163,250,251,248,248,240,170,240,352,295,295,334,347,358,358,358,358,385,287,474
8,0,0,0,0,0,0,0,21,23,98,163,163,163,163,163,168,170,241,241,213,259,258,327,332,308,313,325,226,322
9,0,0,0,0,0,0,0,0,20,23,97,72,72,143,144,144,162,216,213,201,213,176,214,213,297,210,226,210,226
10,0,0,0,0,0,0,0,0,0,21,23,40,40,71,71,124,136,163,199,164,177,167,170,210,213,170,213,164,213
11,0,0,0,0,0,0,0,0,0,0,21,23,40,41,41,55,86,136,162,162,170,164,164,161,170,160,164,159,161
12,0,0,0,0,0,0,0,0,0,0,0,21,20,40,33,40,70,64,129,129,161,139,161,129,164,154,161,155,158
13,0,0,0,0,0,0,0,0,0,0,0,0,4,21,20,27,40,40,64,86,129,86,129,127,161,126,158,142,142
14,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,23,39,38,40,46,86,61,86,85,129,104,142,126,129
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,20,22,38,40,70,33,62,55,101,85,129,100,127
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,20,22,39,40,30,61,44,86,80,86,86,100
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,20,30,37,25,30,35,55,61,67,74,85
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,20,20,16,25,33,39,34,46,45,44
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,12,13,24,22,33,30,31,32,37
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,10,12,18,22,25,30,30,33
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,10,13,16,18,21,22,32
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,13,14,19,19,21
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,10,7,13,16,19
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,12,16,17
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,10,12,16
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,10,15
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
