,2 clusters,3 clusters,4 clusters,5 clusters,6 clusters,7 clusters,8 clusters,9 clusters,10 clusters,11 clusters,12 clusters,13 clusters,14 clusters,15 clusters,16 clusters,17 clusters,18 clusters,19 clusters,20 clusters,21 clusters,22 clusters,23 clusters,24 clusters,25 clusters,26 clusters,27 clusters,28 clusters,29 clusters,30 clusters
0,22719,20681,20571,19924,20252,20247,19881,19882,19882,19881,19890,19851,19708,19701,19793,19794,19793,19568,19412,16406,19329,16404,16401,16402,16441,16442,16398,16399,12684
1,5306,5114,3622,3380,3354,3267,3188,3196,3198,3203,3148,3200,2388,2443,3190,3173,3157,2403,2459,3490,2364,3485,3482,3481,3467,3468,3471,3483,3731
2,0,2230,2452,2282,1918,1914,2111,2276,2287,2280,2276,2066,1828,2045,1527,1499,1345,1492,1509,2197,1439,2167,2087,2066,2066,2092,1278,2081,3485
3,0,0,1380,1507,1148,1144,1752,929,940,983,917,831,1250,1019,621,621,621,1072,1039,1163,1251,1122,1143,1147,1415,1406,1050,1053,1335
4,0,0,0,932,1088,1141,521,631,517,512,461,512,461,834,556,586,520,621,622,1059,618,1007,1008,1015,1006,1050,1007,1011,1115
5,0,0,0,0,265,252,206,522,461,461,411,461,460,461,515,480,507,546,546,621,497,622,621,622,622,616,685,636,1052
6,0,0,0,0,0,60,200,461,217,266,294,345,362,345,461,461,461,461,461,606,461,619,585,596,461,461,620,621,806
7,0,0,0,0,0,0,166,122,200,168,194,194,345,336,435,212,435,435,424,461,376,461,481,461,410,427,608,461,623
8,0,0,0,0,0,0,0,6,175,162,189,194,300,239,186,204,274,356,355,438,340,430,461,431,367,315,461,274,622
9,0,0,0,0,0,0,0,0,148,76,149,175,253,204,166,199,183,260,212,315,257,345,374,360,348,261,399,267,461
10,0,0,0,0,0,0,0,0,0,33,63,148,251,193,129,193,156,223,189,260,253,226,270,257,244,220,346,213,350
11,0,0,0,0,0,0,0,0,0,0,33,43,194,144,120,190,154,162,135,246,155,207,267,176,242,214,286,212,328
12,0,0,0,0,0,0,0,0,0,0,0,5,145,43,110,142,125,124,124,148,151,163,258,163,191,163,252,165,208
13,0,0,0,0,0,0,0,0,0,0,0,0,80,13,95,124,115,107,123,125,124,148,125,162,162,136,250,147,163
14,0,0,0,0,0,0,0,0,0,0,0,0,0,5,74,110,80,99,111,124,107,128,100,125,125,125,189,138,129
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,32,58,60,110,106,105,125,99,101,107,121,127,134,121
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,36,19,74,97,81,105,80,100,93,102,125,113,118
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,65,82,74,88,74,84,78,100,100,110,105
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,49,74,25,74,60,81,75,88,78,99,104
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,10,72,19,81,39,74,74,77,99
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,19,16,71,28,50,59,74,77
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9,24,15,31,44,71,70
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,14,9,30,43,60,70
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,15,25,44,64
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,10,25,35,60
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,17,25,16
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,17,15
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
