,2 clusters,3 clusters,4 clusters,5 clusters,6 clusters,7 clusters,8 clusters,9 clusters,10 clusters,11 clusters,12 clusters,13 clusters,14 clusters,15 clusters,16 clusters,17 clusters,18 clusters,19 clusters,20 clusters,21 clusters,22 clusters,23 clusters,24 clusters,25 clusters,26 clusters,27 clusters,28 clusters,29 clusters,30 clusters
0,40492,40465,9943,27,23,17,40442,9464,479,39055,1387,14,15,618,38879,10,1372,16634,9,8846,10,176,8,6,472,22245,614,276,14824
1,9943,9943,23,23,17,40442,479,479,1387,1387,14,15,618,38879,1372,1372,9,9,8846,10,22245,22245,22245,22245,22245,614,14824,14824,8797
2,0,27,27,9464,9464,9464,9464,39055,39055,10,10,10,10,10,10,16634,16634,176,176,176,176,8,6,472,854,854,854,854,854
3,0,0,40442,40442,40442,15,15,1387,15,15,15,618,1372,1372,10,10,10,10,10,22245,614,614,614,614,614,8797,8797,8797,3
4,0,0,0,479,479,479,14,14,14,14,38879,38879,38879,9,9,9,8846,8846,14824,14824,14824,14824,14824,14824,14824,14824,497,497,497
5,0,0,0,0,10,10,10,10,10,472,176,176,176,176,176,176,176,472,472,472,472,472,472,854,126,126,126,126,126
6,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,8,8,8,8,8,8,8
7,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,22245,22245,22245,22245,3,3,3,3,3,3,3,3,3,147
8,0,0,0,0,0,0,0,15,618,618,618,1372,10,10,614,614,614,614,614,614,8797,8797,8797,8797,8797,518,518,518,518
9,0,0,0,0,0,0,0,0,8846,8846,8846,8846,8846,8846,8846,8846,7,7,7,7,7,7,7,7,7,7,7,7,7
10,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
11,0,0,0,0,0,0,0,0,0,0,472,472,472,472,472,472,472,854,854,854,854,854,854,126,5,5,5,5,5
12,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
13,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
14,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,8,50,50,50,50,50,50,50
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,2,2,2,2,2,2,2,2,2,2
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,518,518,518,518,518,518,518,465,465,465,465
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810,1810
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,49,49,49,49,49,49,49,49
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,6,6,6,6,6,6
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21748,21748,21748
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,338
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129
