,2 clusters,3 clusters,4 clusters,5 clusters,6 clusters,7 clusters,8 clusters,9 clusters,10 clusters,11 clusters,12 clusters,13 clusters,14 clusters,15 clusters,16 clusters,17 clusters,18 clusters,19 clusters,20 clusters,21 clusters,22 clusters,23 clusters,24 clusters,25 clusters,26 clusters,27 clusters,28 clusters,29 clusters,30 clusters
0,40506,17243,17242,16688,19787,19854,18865,3689,5120,8820,5378,8786,4692,14544,3037,12020,14544,524,8571,11224,8571,10124,8479,8189,11505,8284,2251,3143,4922
1,9929,9577,9098,8846,8846,8820,8820,8820,8820,4912,8820,5191,8783,8784,8783,8571,8571,3030,3167,8571,1046,8571,8571,8571,8571,8571,8571,8571,8571
2,0,23615,23615,23478,16104,1201,15335,5802,12085,13455,11524,3693,16408,10444,10364,11446,11275,8571,8791,5297,4854,4460,3771,2246,8275,3199,7539,11486,7416
3,0,0,480,943,480,638,480,638,18323,17313,638,528,479,4288,12041,474,474,11196,12020,474,11160,340,331,474,340,155,474,340,340
4,0,0,0,480,941,15247,638,480,40,479,479,479,387,1108,479,363,364,12041,361,3635,474,474,474,184,474,474,814,213,474
5,0,0,0,0,4277,4195,1196,1157,638,638,16327,16538,1386,479,387,3167,1139,474,474,1078,340,4388,11404,340,2517,818,762,740,1895
6,0,0,0,0,0,480,5043,17604,479,2482,3702,11393,18,309,12,3717,2962,1060,1086,340,772,256,2969,11547,832,760,339,474,2361
7,0,0,0,0,0,0,58,12209,21,1170,1130,1018,5162,24,190,1088,3691,191,18,335,910,831,206,814,3253,11,11388,1378,813
8,0,0,0,0,0,0,0,36,1151,40,36,332,197,18,1087,155,24,18,3364,2597,11,335,18,3018,18,18,11,2322,778
9,0,0,0,0,0,0,0,0,3758,18,18,1317,1093,1184,1109,1130,18,45,30,11,2989,16,10,819,33,2368,237,18,37
10,0,0,0,0,0,0,0,0,0,1108,1102,18,310,4572,6745,24,1078,1086,1068,18,18,11775,3340,18,155,1018,18,11,13
11,0,0,0,0,0,0,0,0,0,0,1281,36,10387,387,310,1088,4278,213,1083,2992,193,2886,1048,9,930,340,134,248,184
12,0,0,0,0,0,0,0,0,0,0,0,1106,1109,1078,18,6580,190,6742,206,206,335,18,510,213,38,3254,1530,184,9
13,0,0,0,0,0,0,0,0,0,0,0,0,24,3018,4571,213,134,11,6579,193,213,184,133,3223,652,11508,189,815,1556
14,0,0,0,0,0,0,0,0,0,0,0,0,0,198,1110,197,1076,989,213,11690,32,189,3121,19,10,184,213,7863,237
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,18,213,157,134,189,3696,155,36,834,189,186,37,1878,3220
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,206,3711,194,911,11795,213,32,3272,213,189,206,189,189
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,190,190,213,2064,196,213,189,3200,2233,2559,155,6630
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,10,32,206,1027,834,1030,334,84,84,185,187
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2876,296,189,2126,189,197,1922,213,880,84,20
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,133,907,3287,4324,184,830,623,705,213
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434,32,340,332,186,152,186,3197,155
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,932,188,21,3312,37,332,2452,335
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,931,155,256,332,2534,335,939
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397,2239,3260,3221,607,727
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,797,1938,2084,2237,2701
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19,5
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3200,37,85
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549,3187
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2236
