,2 clusters,3 clusters,4 clusters,5 clusters,6 clusters,7 clusters,8 clusters,9 clusters,10 clusters,11 clusters,12 clusters,13 clusters,14 clusters,15 clusters,16 clusters,17 clusters,18 clusters,19 clusters,20 clusters,21 clusters,22 clusters,23 clusters,24 clusters,25 clusters,26 clusters,27 clusters,28 clusters,29 clusters,30 clusters
0,9240,6949,9164,20897,18657,13888,8453,13139,962,13071,304,13760,6563,3795,1432,10448,3828,10130,2736,764,5056,2332,10238,1444,10129,3383,10417,10336,10402
1,41195,9164,20897,8484,708,8453,10669,8483,8483,8453,5224,8453,8453,8437,12386,8440,8441,8453,8440,2330,8440,8440,8440,8441,8441,114,8440,8441,8440
2,0,34322,14732,14732,14683,1275,13407,317,13708,13286,8440,5162,1658,12168,8461,2611,10119,8568,10101,8440,12183,10093,3447,10430,2334,10165,8632,2334,5692
3,0,0,5642,708,8483,708,709,708,708,707,13044,756,3457,462,10122,1665,3459,707,604,10476,299,299,158,299,299,461,461,461,461
4,0,0,0,5614,3716,4005,885,610,13425,317,13035,707,708,5874,270,461,461,733,461,461,461,461,1524,461,461,299,143,132,299
5,0,0,0,0,4188,13335,5041,3501,400,3477,461,1523,299,8574,5037,2120,299,4013,8567,1561,10556,3997,461,4067,3600,1245,3839,292,1523
6,0,0,0,0,0,8771,8019,13334,6873,2716,4714,1812,3765,375,461,348,891,1405,5015,1029,76,413,896,88,1528,330,299,217,2099
7,0,0,0,0,0,0,3252,3529,2905,6873,425,6673,8572,937,227,1611,1448,77,387,156,3862,1524,406,2645,217,342,2142,913,33
8,0,0,0,0,0,0,0,6814,1363,83,1909,1466,431,2303,4524,1438,334,2924,387,73,150,188,275,347,2157,3613,33,2607,494
9,0,0,0,0,0,0,0,0,1608,1046,979,326,325,1102,259,7083,3033,1511,2561,1621,216,1560,299,553,224,85,492,190,39
10,0,0,0,0,0,0,0,0,0,406,1584,365,1165,315,1015,1006,276,224,2829,2083,377,795,120,278,4098,8601,2323,888,188
11,0,0,0,0,0,0,0,0,0,0,316,849,437,275,1553,367,5058,391,81,418,459,8558,284,1253,276,42,108,3941,1155
12,0,0,0,0,0,0,0,0,0,0,0,8583,1447,1293,2722,210,8565,311,291,8580,1310,2949,316,818,316,1601,425,484,2120
13,0,0,0,0,0,0,0,0,0,0,0,0,13155,3454,464,2051,565,3495,1605,299,552,769,99,2046,85,2763,2420,607,504
14,0,0,0,0,0,0,0,0,0,0,0,0,0,1071,185,1676,1626,1525,1548,1436,316,86,188,316,2943,520,1598,113,871
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1317,316,1586,777,316,316,1424,1636,316,416,813,278,316,277,326
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8584,130,1437,1972,2365,1607,176,4035,1066,598,8440,478,1262,1318
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,1627,942,309,188,1801,600,1523,77,1018,152,64,559
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2127,1437,188,155,628,2709,193,610,656,155,1530,173
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,2641,360,316,1601,76,828,209,188,3715,184
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4889,2083,298,8561,1433,5692,79,290,257,89
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,2129,2821,5692,1554,1276,2063,316,1589
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,987,1415,2104,1255,322,643,299,2583
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1226,2116,328,1347,300,1652,369
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2330,1276,290,89,427,95
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,2896,744,253,1407
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,175,1353,902
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3070,5692,3901
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1382,290
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2330
