,2 clusters,3 clusters,4 clusters,5 clusters,6 clusters,7 clusters,8 clusters,9 clusters,10 clusters,11 clusters,12 clusters,13 clusters,14 clusters,15 clusters,16 clusters,17 clusters,18 clusters,19 clusters,20 clusters,21 clusters,22 clusters,23 clusters,24 clusters,25 clusters,26 clusters,27 clusters,28 clusters,29 clusters,30 clusters
0,18127,11521,11246,11246,11211,11212,10766,11161,8818,9746,9529,9744,8824,8789,8825,8789,8781,8781,8777,8777,8581,8569,8569,8569,8569,8567,8569,8569,8567
1,9898,9558,9558,9079,8840,8818,8840,8818,8760,8818,8789,8781,8818,8223,8781,8758,5080,5082,5078,5060,5077,5093,4979,4979,5067,5049,4978,4954,5025
2,0,6946,6799,6799,6295,6327,6280,5594,3657,5330,5394,5327,2842,3323,5230,3069,3818,3826,3832,3815,3817,3876,3814,3814,3822,3672,3790,3707,3787
3,0,0,422,479,778,681,705,829,2670,1285,1818,1285,2700,2820,1250,2621,2938,2814,2907,2809,2417,2777,2788,2417,2406,2357,2286,2312,2227
4,0,0,0,422,479,479,501,602,2078,824,816,813,1249,1688,989,1226,2591,2541,2586,2538,2006,2526,2528,2006,1984,1968,1703,1737,1610
5,0,0,0,0,422,283,479,479,613,602,479,479,1240,959,799,984,1117,1117,1118,1116,1114,1067,1116,1114,1114,935,1155,1154,1166
6,0,0,0,0,0,225,234,224,496,479,330,470,701,516,479,689,964,958,944,936,959,939,899,934,958,887,947,912,946
7,0,0,0,0,0,0,220,215,479,471,312,353,602,479,413,479,695,693,687,693,934,687,687,899,932,752,875,890,904
8,0,0,0,0,0,0,0,103,234,234,221,297,479,418,353,416,479,479,479,479,692,474,474,687,676,687,674,684,506
9,0,0,0,0,0,0,0,0,220,220,215,215,214,313,297,319,417,412,410,416,474,410,369,474,474,628,474,474,474
10,0,0,0,0,0,0,0,0,0,16,103,157,214,214,186,214,352,352,368,326,410,369,365,365,409,474,369,451,394
11,0,0,0,0,0,0,0,0,0,0,19,88,103,156,157,180,297,297,211,189,329,213,221,326,368,417,368,351,386
12,0,0,0,0,0,0,0,0,0,0,0,16,23,88,126,152,214,213,194,185,312,184,213,221,213,325,365,325,362
13,0,0,0,0,0,0,0,0,0,0,0,0,16,23,101,86,152,179,153,179,213,180,180,213,194,213,222,213,320
14,0,0,0,0,0,0,0,0,0,0,0,0,0,16,23,22,86,153,134,172,179,172,177,180,179,196,213,194,213
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,22,86,83,155,176,155,172,176,176,180,180,179,196
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,21,23,89,155,154,155,172,141,176,172,138,180
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,19,47,89,84,146,155,134,146,155,134,146
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,22,47,37,77,146,84,134,144,132,139
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,23,23,37,83,37,85,114,124,134
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,15,22,47,27,78,93,116,80
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,16,24,22,37,78,85,75
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,15,16,24,34,84,48
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,15,15,22,43,37
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,15,15,22,33
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,15,16,22
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,16,19
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,15
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
